"year","(-60,-50]","(-50,-40]","(-40,-30]","(-30,-20]","(-20,-10]","(-10,0]","(0,10]","(10,20]"
"rcp45_2050_pessimistic",0,0,9,176,3751,21513,5918,0
"rcp45_2050_intermediate",0,0,3,92,1658,23704,5910,0
"rcp45_2050_optimistic",0,0,0,31,761,24635,5940,0
"rcp45_2085_pessimistic",0,0,18,219,2558,22646,5925,1
"rcp45_2085_intermediate",0,0,2,64,1077,24273,5951,0
"rcp45_2085_optimistic",0,0,0,8,337,24574,6447,1
"rcp85_2050_pessimistic",0,3,36,430,6180,18681,6037,0
"rcp85_2050_intermediate",0,0,16,235,4319,20729,6068,0
"rcp85_2050_optimistic",0,0,7,111,1807,23327,6114,1
"rcp85_2085_pessimistic",5,26,272,2494,6700,15407,6447,16
"rcp85_2085_intermediate",2,9,122,816,7361,16739,6256,62
"rcp85_2085_optimistic",0,3,54,286,3725,20843,6377,79
"scen_2017_vs_scen_1981",0,0,1,16,698,23706,6930,16
